form,group,category,flags,page_ref,notes
aCLin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
actoNEL,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
actoS,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
aKAMin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
alDACTONE,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
alDOMET,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ALKeran,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
alODORM,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
amARYl,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
amiNOPHYLLine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
amiODAROne,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
amiTRIPTYLine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
amLODIPine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
amOXil,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
aPomine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
arABLOC,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
arATAC,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ARIPiprazole,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
arOPAX,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
aTRopt,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
avaSTIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
avaXIM,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
aVomine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
azATHIOPRINE,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
aziTHROMYCIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
aZopt,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
bisACODYl,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
bisOPROLOl,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
buDESONide,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
buMETANide,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
caLTRate,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
caPTOPRil,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
caRAFate,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
CARBAMazepine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
carbiMAZOLe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cARBOplatin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
CARpine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
caRVEDILOl,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cefaLEXin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cefALOTIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cefaZOLin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cefEPIME,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cefOTAXIME,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cefOXITIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ceftAROLine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cefTAZIDIME,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cefTRIAXONE,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
celAPRAM,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
celEBREX,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cephaLEXin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cephaZOLin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cHLORPROMAZine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ciclosPORIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ciprAMIL,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ciPROFLOXAcin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ciprOXIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ciSplatin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cLARITHROMYcin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cLOMIPHEne,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cLOMIPRAMine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
CLONazepam,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
Contin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
coUMADIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
coVERSYL,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
CYCLOPHOSPHamide,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cyclosERINE,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
cyclosPORIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
daCTINomycin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
daPTomycin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
DAUNOrubicin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
DEPO-medrol,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
depo-PROVERA,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
dePTRAn,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
deRALin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
Diazepam,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
dilaNTIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
dilaUDID,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
diPRIVan,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
diPYRIDAMOLe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
diSOPYRAMIDe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
diTROPan,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
DOCEtaxel,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
doSULepin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
