form,group,category,flags,page_ref,notes
acetoHEXAMIDE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
acetaZOLAMIDE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
buPROPion,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
busPIRone,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
chlorproMAZINE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
chlorproPAMIDE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
CISplatin,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
CARBOplatin,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
clomiPHENE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
clomiPRAMINE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
cycloSPORINE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
cycloSERINE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
DAUNOrubicin,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
DOXOrubicin,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
dimenhyDRINATE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
diphenhydrAMINE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
DOBUTamine,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
DOPamine,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
glipiZIDE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
glyBURIDE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
hydrALAZINE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
hydrOXYzine,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
HYDROmorphone,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
medroxyPROGESTERone,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
methylPREDNISolone,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
methylTESTOSTERone,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
methylPREDNISolone,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
methylTESTOSTERone,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
migALAstat,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
migLUstat,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
mitoXANTRONE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
niCARdipine,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
NIFEdipine,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
predniSONE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
prednisoLONE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
risperiDONE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
rOPINIRole,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
sulfADIAZINE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
sulfiSOXAZOLE,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
TOLAZamide,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
TOLBUTamide,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
traZODone,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
traMADol,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
vinBLAStine,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
vinCRIStine,,,,FDA website Appendix A; Content current as of 06/12/2026,"Source: FDA Name Differentiation Project page, June 2026"
